Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg Run Cadence,Max Run Cadence,Normalized Power® (NP®),L/R Balance,Training Stress Score®,Max Avg Power (20 min),Avg Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Steps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,9/3/2024 5:16,FALSE,Baltimore - 10x400@5k pace/400AR,6.98,732,1:01:30,152,171,3.8,172,194,8:49,6:11,119,140,1.05,7.7,8.2,242,50.8% L / 49.2% R,--,--,--,--,0,--,--,--,--,--,--,"10,426",64.4,No,00:02.4,23,82.4,33,21,42,1:01:15,1:03:57,3,81
Running,9/1/2024 10:42,FALSE,Howard County Running,2.15,251,0:19:16,175,197,3.1,171,177,8:56,8:32,46,37,1.06,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"3,312",82.4,No,01:19.4,3,87.8,--,--,--,0:19:13,0:20:22,360,380
Cycling,9/1/2024 8:31,FALSE,Howard County Cycling,37.19,"1,090",2:00:34,143,164,3.9,--,--,18.5,31.3,"1,658","1,655",--,--,--,--,--,88,113,148,46% L / 54% R,109.1,142,129,516,10122,--,--,--,75.2,No,07:25.1,8,84.2,--,--,--,2:00:33,2:02:21,301,389
Running,8/31/2024 7:58,FALSE,Baltimore Running,6.2,678,0:55:00,150,162,4,173,181,8:52,7:40,93,148,1.05,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"9,460",77,No,01:59.7,7,86,--,--,--,0:54:59,0:55:11,-2,75
Running,8/29/2024 5:30,FALSE,Baltimore Running,3.12,351,0:29:48,153,174,3.1,169,178,9:33,7:44,34,91,1,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"4,996",82.4,No,01:02.6,4,84.2,--,--,--,0:29:47,0:30:26,-6,73
Running,8/22/2024 6:25,FALSE,Baltimore Running,3.15,347,0:28:21,143,157,3.1,172,236,9:00,7:53,44,94,1.04,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"4,860",66.2,No,01:24.4,4,80.6,--,--,--,0:28:20,0:28:43,-6,77
Multisport,8/18/2024 7:15,FALSE,Ironman Copenhagen 2024,139.65,"6,668",11:53:49,--,184,5,--,--,11.7,--,"3,500","3,446",--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,No,--:--:--,5,--,--,--,--,--:--:--,12:01:12,20,278
Open Water Swimming,8/18/2024 6:56,FALSE,Copenhagen Open Water Swimming,124,23,01:52.7,128,141,0.4,--,--,1:31,1:11,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,46,35,26,--,68,No,01:52.7,1,71.6,--,--,--,0:01:52,02:06.2,--,--
Open Water Swimming,8/15/2024 11:58,FALSE,Copenhagen Open Water Swimming,948,182,0:15:55,122,151,1.2,--,--,1:41,0:06,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,450,41,30,--,68,No,07:56.2,2,87.8,--,--,--,0:15:22,0:19:58,--,--
Open Water Swimming,8/14/2024 13:58,FALSE,Copenhagen Open Water Swimming,751,134,0:13:01,129,142,1.3,--,--,1:44,1:10,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,379,42,30,--,68,No,04:27.1,2,89.6,--,--,--,0:12:58,0:15:04,--,--
Running,8/12/2024 8:09,FALSE,Hamburg Running,3.15,349,0:28:01,145,162,3.1,169,177,8:54,7:50,55,30,1.07,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"4,746",71.6,No,01:18.4,4,78.8,--,--,--,0:28:00,0:29:02,24,58
Running,8/10/2024 6:40,FALSE,Münster Running,6.26,644,0:56:15,142,158,3.3,169,177,8:59,7:26,141,140,1.06,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"9,502",66.2,No,02:16.0,7,78.8,--,--,--,0:55:48,1:00:19,186,221
Cycling,8/8/2024 12:31,FALSE,Münster Cycling,37.23,"1,205",2:07:42,131,152,3.4,--,--,17.5,26.7,335,331,--,--,--,--,--,86,119,158,48% L / 52% R,131.9,163,136,619,9857,--,--,--,69.8,No,09:51.2,8,84.2,27,11,38,2:07:06,2:26:03,198,270
Running,8/7/2024 7:31,FALSE,Cologne Running,3.15,308,0:27:31,137,159,2.6,167,242,8:44,8:10,27,63,1.1,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"4,652",73.4,No,01:18.6,4,80.6,--,--,--,0:27:24,0:35:20,121,166
Pool Swim,8/5/2024 6:51,FALSE,Pool Swim,"2,200",440,1:04:10,112,147,1.2,--,--,1:51,1:26,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,1136,41,28,--,--,No,00:00.8,37,--,--,--,--,0:40:40,1:08:17,--,--
Running,8/4/2024 12:01,FALSE,Frankfurt am Main Running,4,423,0:35:09,153,167,3.1,173,185,8:47,7:39,83,78,1.03,7.8,8.1,223,52.3% L / 47.7% R,--,--,--,--,0,--,--,--,--,--,--,"5,990",77,No,00:02.4,5,80.6,34,22,42,0:34:58,0:41:28,323,366
Cycling,8/4/2024 7:31,FALSE,Frankfurt am Main Cycling,53.26,"1,721",3:27:16,130,153,3.6,--,--,15.4,37.6,"1,709","1,773",--,--,--,--,--,80,121,146,48% L / 52% R,184,139,117,576,14266,--,--,--,66.2,No,0:16:32,11,82.4,27,11,36,3:25:12,4:12:03,301,692
Running,8/3/2024 8:29,FALSE,Frankfurt am Main Running,13.21,"1,427",2:05:00,151,172,4.4,168,196,9:28,8:09,175,189,1.01,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"20,908",71.6,No,00:40.3,18,80.6,--,--,--,2:04:28,2:21:12,281,364
Running,8/2/2024 15:29,FALSE,Frankfurt am Main Running,3.14,334,0:28:30,143,155,2.7,168,176,9:04,8:06,186,22,1.05,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"4,798",82.4,No,01:22.3,4,91.4,--,--,--,0:28:25,0:34:16,340,381
Pool Swim,8/1/2024 6:11,FALSE,Pool Swim,"3,400",558,1:08:30,114,140,1.3,--,--,1:45,1:17,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,1641,38,28,--,--,No,00:11.0,28,--,--,--,--,0:59:14,1:09:15,--,--
Cycling,7/31/2024 6:26,FALSE,Monroe Cycling,18.61,551,0:56:45,133,151,2.7,--,--,19.7,27.5,366,374,--,--,--,--,--,88,108,155,47% L / 53% R,56.5,152,140,593,4774,--,--,--,75.2,No,0:11:52,4,84.2,28,15,35,0:56:44,0:58:59,78,157
Pool Swim,7/30/2024 15:54,FALSE,Pool Swim,"2,500",426,1:03:27,117,158,1.9,--,--,1:39,0:57,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,1220,37,30,--,--,No,00:00.8,38,--,--,--,--,0:41:06,1:04:12,--,--
Running,7/30/2024 6:22,FALSE,Baltimore - Tuesday Track work! descending l,6.75,730,1:05:50,140,167,3.5,161,247,9:45,7:01,77,123,1.01,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"10,664",78.8,No,00:11.6,17,84.2,--,--,--,1:05:37,1:08:44,-9,68
Running,7/28/2024 7:16,FALSE,Baltimore Running,14.3,"1,592",2:13:31,151,173,4.7,169,247,9:20,7:25,165,217,1.02,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"22,542",78.8,No,00:45.3,20,87.8,--,--,--,2:13:27,2:13:31,-3,75
Indoor Cycling,7/28/2024 5:55,FALSE,30': Aerobic ride @ 70-75% FTP,16.88,601,1:00:15,127,136,2.6,--,--,16.8,22,--,--,--,--,--,--,--,89,98,146,--,53.4,150,145,235,5394,--,--,--,80.6,No,0:03:00,7,84.2,--,--,--,1:00:13,1:01:02,--,--
Cycling,7/27/2024 9:14,FALSE,Cambridge Cycling,43.47,"1,283",2:14:16,137,149,3.3,--,--,19.4,23.1,63,57,--,--,--,--,--,86,105,143,47% L / 53% R,114,152,138,643,11469,--,--,--,80.6,No,09:59.8,9,109.4,28,16,37,2:14:14,2:28:49,1,16
Pool Swim,7/26/2024 8:17,FALSE,Pool Swim,"3,600",720,1:16:15,143,167,3.3,--,--,1:54,1:32,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,1969,42,29,--,--,No,00:07.6,18,--,--,--,--,1:08:38,1:17:11,--,--
Running,7/25/2024 9:28,FALSE,Baltimore Running,4.01,442,0:35:09,154,169,3.4,174,182,8:47,7:33,49,99,1.05,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"6,112",82.4,No,00:01.9,5,87.8,--,--,--,0:35:08,0:35:26,-7,74
Indoor Cycling,7/25/2024 8:17,FALSE,60': Long WU + 20' Building IM e,16.96,602,1:00:00,139,152,2.9,--,--,17,19,--,--,--,--,--,--,--,91,98,151,--,56.3,160,146,185,5508,--,--,--,78.8,No,00:00.3,22,84.2,--,--,--,0:59:58,1:00:16,--,--
Running,7/24/2024 17:39,FALSE,Baltimore Running,3.3,360,0:30:15,150,167,3,169,176,9:10,8:23,49,94,1.04,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"5,124",84.2,No,02:54.1,4,87.8,--,--,--,0:30:13,0:32:06,3,65
Indoor Cycling,7/24/2024 7:37,FALSE,60' 2 x 20' efforts at 80%,16.52,567,1:00:01,128,143,2.5,--,--,16.5,20.8,--,--,--,--,--,--,--,91,101,139,--,47.7,146,136,165,5493,--,--,--,78.8,No,00:01.0,11,82.4,--,--,--,0:59:58,1:00:01,--,--
Pool Swim,7/23/2024 16:50,FALSE,Pool Swim,"2,900",580,1:06:28,137,160,2.7,--,--,1:52,1:33,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,1520,41,28,--,--,No,00:02.7,40,--,--,--,--,0:54:09,1:07:29,--,--
Running,7/23/2024 6:39,FALSE,Baltimore - Tuesday Track (400-800-1200-1600,6,662,0:55:26,148,169,3.5,169,247,9:15,6:35,108,162,1.03,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"9,366",77,No,01:54.6,11,82.4,--,--,--,0:55:21,0:55:47,-9,76
Running,7/21/2024 7:42,FALSE,Baltimore Running,5.5,605,0:50:41,147,161,3.4,169,174,9:13,7:54,53,106,1.03,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"8,564",78.8,No,01:28.6,7,84.2,--,--,--,0:50:39,0:50:41,-2,78
Cycling,7/20/2024 7:14,FALSE,Loudoun County Cycling,36.02,"1,051",1:56:07,130,147,3.2,--,--,18.6,34.9,"1,335","1,345",--,--,--,--,--,83,115,144,48% L / 52% R,100.6,150,130,674,9261,--,--,--,73.4,No,03:20.8,8,80.6,--,--,--,1:55:55,1:56:18,314,417
Pool Swim,7/19/2024 18:35,FALSE,Pool Swim,"3,000",600,1:07:47,137,164,2.8,--,--,1:55,1:30,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,1606,42,28,--,--,No,00:07.1,18,--,--,--,--,0:57:39,1:08:15,--,--
Running,7/18/2024 17:46,FALSE,Baltimore Running,4.5,502,0:40:46,154,168,3.3,171,176,9:04,7:58,47,101,1.04,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"6,932",86,No,04:29.9,5,89.6,--,--,--,0:40:43,0:40:46,-5,73
Indoor Cycling,7/17/2024 6:57,FALSE,50': Long Warm-up + 2 x (5' IM +,10.12,374,0:35:00,132,149,2.5,--,--,17.3,18.9,--,--,--,--,--,--,--,88,103,157,--,35.6,156,157,186,3102,--,--,--,78.8,No,00:00.4,12,82.4,--,--,--,0:34:59,0:37:40,--,--
Running,7/16/2024 6:31,FALSE,Baltimore Running,3,326,0:26:42,149,165,3,171,178,8:53,7:46,28,86,1.06,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"4,548",82.4,No,00:01.9,4,87.8,--,--,--,0:26:42,0:27:24,-6,72
Running,7/14/2024 5:45,FALSE,Baltimore Running,14.3,"1,548",2:29:56,141,158,3.9,162,234,10:29,8:46,181,178,0.94,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"24,382",82.4,No,00:34.6,19,93.2,--,--,--,2:29:44,2:37:03,-1,78
Running,7/13/2024 13:01,FALSE,Loudoun County Running,3,349,0:29:35,154,168,2.9,166,175,9:51,8:57,80,88,0.98,8,7.9,229,52.0% L / 48.0% R,--,--,--,--,0,--,--,--,--,--,--,"4,860",91.4,No,00:02.7,4,98.6,35,24,42,0:29:35,0:29:56,372,416
Cycling,7/13/2024 6:00,FALSE,Loudoun County Cycling,110.01,"3,215",5:53:19,133,158,4.8,--,--,18.7,34.6,"4,089","4,096",--,--,--,--,--,83,134,144,48% L / 52% R,303.6,153,130,631,28613,--,--,--,75.2,No,00:02.3,23,98.6,28,12,41,5:53:16,6:48:42,312,428
Pool Swim,7/12/2024 10:36,FALSE,Pool Swim,"1,600",264,0:33:52,115,143,1.2,--,--,1:44,1:26,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,775,38,28,--,--,No,00:19.1,14,--,--,--,--,0:27:49,0:34:26,--,--
Running,7/11/2024 9:06,FALSE,Baltimore Running,4,438,0:34:42,151,162,3.4,174,179,8:40,7:40,60,119,1.07,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"5,998",80.6,No,00:02.1,5,89.6,--,--,--,0:34:41,0:35:19,-1,79
Indoor Cycling,7/11/2024 7:44,FALSE,70': Slow Build + 2 x 6' LT,20.14,729,1:10:00,131,152,3,--,--,17.3,19,--,--,--,--,--,--,--,88,100,160,--,74.3,165,152,195,6181,--,--,--,80.6,No,00:00.4,24,86,--,--,--,1:09:54,1:11:34,--,--
Running,7/10/2024 18:48,FALSE,Baltimore Running,3.15,334,0:28:46,143,160,2.9,169,178,9:07,8:19,73,119,1.04,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"4,874",84.2,No,01:25.3,4,89.6,--,--,--,0:28:43,0:30:46,-14,69
Indoor Cycling,7/10/2024 7:05,FALSE,60': Aerobic ride with 10 x 1' e,16.4,571,1:00:00,122,140,2.5,--,--,16.4,19,--,--,--,--,--,--,--,89,100,142,--,50.4,139,137,196,5347,--,--,--,78.8,No,00:00.2,25,82.4,--,--,--,0:59:58,1:03:13,--,--
Pool Swim,7/9/2024 18:14,FALSE,Pool Swim,"2,800",560,1:03:15,131,154,2.4,--,--,1:55,1:30,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,1461,42,27,--,--,No,00:09.4,36,--,--,--,--,0:53:31,1:03:56,--,--
Running,7/9/2024 6:07,FALSE,Baltimore - Speed work 4 x 1 mi @ 10k,7,745,1:06:01,147,167,3.4,167,180,9:26,7:50,75,123,1.01,8,8.2,234,51.2% L / 48.8% R,--,--,--,--,0,--,--,--,--,--,--,"10,906",82.4,No,01:27.5,11,86,32,19,40,1:05:58,1:07:03,-1,70
Cycling,7/7/2024 5:55,FALSE,Loudoun County Cycling,90.02,"2,540",4:53:34,134,160,4.3,--,--,18.4,35,"3,423","3,419",--,--,--,--,--,87,131,141,48% L / 52% R,243.5,154,123,675,23812,--,--,--,77,No,00:04.5,19,100.4,--,--,--,4:53:31,5:57:38,309,430
Running,7/6/2024 5:52,FALSE,Baltimore Running,16.01,"1,747",2:42:15,147,166,4.2,166,177,10:08,7:47,248,275,0.95,7.9,7.6,223,52.2% L / 47.8% R,--,--,--,--,0,--,--,--,--,--,--,"26,676",82.4,No,00:06.7,17,91.4,33,20,41,2:42:07,2:44:24,-7,75
Indoor Cycling,7/6/2024 5:01,FALSE,31': Easier ride with 4 x 1' eff,8.63,294,0:31:03,125,140,2.1,--,--,16.7,20,--,--,--,--,--,--,--,88,98,143,--,26,144,136,189,2751,--,--,--,80.6,No,00:03.4,14,84.2,26,18,31,0:31:01,0:31:03,--,--
Pool Swim,7/5/2024 14:52,FALSE,Pool Swim,"3,000",600,1:07:41,143,167,3,--,--,1:52,1:32,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,1545,41,28,--,--,No,00:28.9,30,--,--,--,--,0:55:48,1:08:14,--,--
Running,7/4/2024 8:22,FALSE,Baltimore Running,3.15,355,0:29:06,151,164,3.1,171,177,9:14,8:16,35,81,1.02,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"4,970",82.4,No,01:23.9,4,87.8,--,--,--,0:29:04,0:29:44,7,75
Indoor Cycling,7/4/2024 7:07,FALSE,61': Pushing the Redline: 4 x 6',17.76,658,1:01:01,141,162,3.2,--,--,17.5,21.6,--,--,--,--,--,--,--,90,124,168,--,70.8,174,158,259,5542,--,--,--,78.8,No,00:01.3,18,84.2,--,--,--,1:01:00,1:01:01,--,--
Indoor Cycling,7/3/2024 13:18,FALSE,60': Base 4 x 7' low Tempo,16.34,562,1:00:00,124,151,2.7,--,--,16.3,18.4,--,--,--,--,--,--,--,90,127,145,--,52.3,152,135,171,5416,--,--,--,80.6,No,00:00.3,11,84.2,--,--,--,0:59:58,1:00:00,--,--
Pool Swim,7/2/2024 16:40,FALSE,Pool Swim,"2,750",550,1:03:06,133,161,2.5,--,--,1:50,1:23,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,1431,40,28,--,--,No,00:07.6,56,--,--,--,--,0:50:14,1:03:57,--,--
Running,7/2/2024 7:06,FALSE,Baltimore - Tuesday track! 6 x 1000 broken,9,972,1:23:46,151,174,3.8,168,188,9:18,6:51,148,154,1.01,7.9,8.1,227,52.0% L / 48.0% R,--,--,--,--,0,--,--,--,--,--,--,"13,890",75.2,No,00:17.7,30,84.2,34,15,41,1:23:33,1:25:40,-9,72
Running,6/30/2024 8:19,FALSE,Baltimore Running,14.01,"1,526",2:28:00,150,168,4,161,174,10:34,8:20,292,281,0.93,8,7.6,248,51.2% L / 48.8% R,--,--,--,--,0,--,--,--,--,--,--,"23,620",80.6,No,00:06.1,21,87.8,34,20,43,2:27:52,2:30:31,-3,74
Indoor Cycling,6/30/2024 7:20,FALSE,30': Short aerobic ride,8.44,292,0:30:02,124,135,2.1,--,--,16.9,20.8,--,--,--,--,--,--,--,86,92,145,--,25.8,149,141,172,2590,--,--,--,78.8,No,00:01.7,14,82.4,27,21,33,0:29:59,0:30:02,--,--
Running,6/29/2024 11:49,FALSE,Cambridge Running,2.01,221,0:20:00,139,156,2.3,167,175,9:57,8:57,33,22,0.96,8.2,7.9,243,51.8% L / 48.2% R,--,--,--,--,0,--,--,--,--,--,--,"3,296",89.6,No,00:09.6,3,95,33,25,43,0:19:58,0:20:36,5,22
Cycling,6/29/2024 6:42,FALSE,Cambridge Cycling,85.01,"2,439",4:26:04,135,154,4.1,--,--,19.2,24.6,748,746,--,--,--,--,--,87,108,136,47% L / 53% R,206.1,150,131,466,22775,--,--,--,75.2,No,00:02.5,18,93.2,29,12,39,4:25:53,4:52:16,-6,28
Pool Swim,6/28/2024 15:03,FALSE,Pool Swim,"3,000",600,1:08:08,134,170,2.5,--,--,1:51,1:28,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,1559,41,28,--,--,No,00:01.8,51,--,--,--,--,0:55:23,1:08:36,--,--
Running,6/27/2024 9:27,FALSE,Baltimore Running,3.15,352,0:29:01,147,157,3.1,171,176,9:13,7:59,41,93,1.02,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"4,956",78.8,No,01:18.4,4,84.2,--,--,--,0:29:00,0:29:01,-2,76
Indoor Cycling,6/27/2024 8:20,FALSE,61': 5 x 3' AnC efforts #PassThe,17.69,647,1:01:00,135,160,3,--,--,17.4,20.2,--,--,--,--,--,--,--,85,96,172,--,74.9,170,155,223,5189,--,--,--,80.6,No,00:00.3,26,84.2,--,--,--,1:00:56,1:01:00,--,--
Indoor Cycling,6/26/2024 11:55,FALSE,55': 3 x 3-5' MEs,15.32,526,0:55:00,138,161,2.8,--,--,16.7,22.6,--,--,--,--,--,--,--,88,99,146,--,48.7,155,138,204,4851,--,--,--,78.8,No,00:00.2,16,82.4,--,--,--,0:54:58,0:55:00,--,--
Pool Swim,6/25/2024 9:21,FALSE,Pool Swim,"2,600",520,1:02:15,133,162,2.8,--,--,1:51,1:25,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,1349,41,28,--,--,No,00:09.7,46,--,--,--,--,0:48:16,1:04:03,--,--
Running,6/25/2024 5:42,FALSE,Baltimore - Tuesday Track (400-800-1200-1600,6,661,0:55:01,149,167,3.6,166,244,9:10,7:07,88,128,1.05,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"9,084",73.4,No,00:03.6,12,84.2,--,--,--,0:54:58,0:55:23,6,75
Cycling,6/23/2024 5:14,FALSE,Howard County Cycling,54.02,"1,597",2:56:26,136,159,4.1,--,--,18.4,29.9,"2,398","2,393",--,--,--,--,--,88,141,152,46% L / 54% R,169.7,154,129,405,14554,--,--,--,80.6,No,0:14:19,11,86,--,--,--,2:56:24,3:05:40,289,381
Running,6/22/2024 6:50,FALSE,Baltimore Running,6.25,690,0:55:51,150,164,3.6,171,241,8:56,7:53,64,116,1.05,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"9,524",80.6,No,02:11.2,7,86,--,--,--,0:55:48,0:57:41,-3,74
Indoor Cycling,6/22/2024 6:04,FALSE,30': Recovery ride 50%-65% FTP,7.91,245,0:30:00,117,126,1.7,--,--,15.8,16.8,--,--,--,--,--,--,--,87,94,116,--,16.6,120,115,131,2617,--,--,--,78.8,No,00:00.5,5,82.4,--,--,--,0:29:58,0:30:00,--,--
Pool Swim,6/21/2024 15:51,FALSE,Pool Swim,"3,000",600,1:04:28,140,160,2.9,--,--,1:51,1:21,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,1570,41,28,--,--,No,00:09.6,20,--,--,--,--,0:55:34,1:05:06,--,--
Indoor Cycling,6/20/2024 6:59,FALSE,61': 7 x 5' zone builds with mix,15.39,554,0:54:02,127,153,2.8,--,--,17.1,20.1,--,--,--,--,--,--,--,83,95,161,--,57.7,171,150,213,4527,--,--,--,80.6,No,00:01.6,19,84.2,--,--,--,0:54:02,0:54:02,--,--
Indoor Cycling,6/19/2024 17:00,FALSE,55': 6 x 3' Low Threshold Muscul,11.76,411,0:42:01,121,144,2.4,--,--,16.8,18.9,--,--,--,--,--,--,--,87,95,150,--,38.9,153,142,191,3659,--,--,--,82.4,No,00:00.4,18,84.2,--,--,--,0:42:00,0:42:51,--,--
Pool Swim,6/18/2024 16:17,FALSE,Pool Swim,"2,650",530,1:01:47,125,156,2.1,--,--,1:51,1:28,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,1281,40,26,--,--,No,00:01.1,36,--,--,--,--,0:48:58,1:02:24,--,--
Running,6/18/2024 6:17,FALSE,"Baltimore - 35': Recovery run @, below, abov",3.5,377,0:31:25,146,159,3.1,172,179,8:58,7:41,53,94,1.04,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"5,392",77,No,01:02.8,7,82.4,--,--,--,0:31:22,0:32:07,-2,74
Running,6/16/2024 10:26,FALSE,Loudoun County Running,2.5,278,0:24:16,147,157,2.6,171,182,9:42,8:39,57,63,0.97,7.9,7.8,240,54.9% L / 45.1% R,--,--,--,--,0,--,--,--,--,--,--,"4,096",84.2,No,04:56.8,3,87.8,32,23,41,0:23:58,0:27:22,297,346
Cycling,6/16/2024 6:15,FALSE,Loudoun County Cycling,70.6,"2,132",3:51:20,127,150,4.2,--,--,18.3,31.6,"2,646","2,656",--,--,--,--,--,87,137,149,46% L / 54% R,212.8,162,132,549,19122,--,--,--,64.4,No,02:02.2,15,84.2,26,13,35,3:51:16,3:59:53,262,412
Running,6/15/2024 8:20,FALSE,Baltimore Running,14.01,"1,489",2:13:24,151,163,4.2,170,181,9:31,7:58,277,320,0.99,7.8,7.8,240,50.5% L / 49.5% R,--,--,--,--,0,--,--,--,--,--,--,"22,454",78.8,No,02:26.5,18,89.6,33,18,41,2:13:19,2:16:20,-6,73
Indoor Cycling,6/15/2024 7:24,FALSE,30': Open the legs!,8.42,295,0:30:02,124,138,2.2,--,--,16.8,19.4,--,--,--,--,--,--,--,86,95,147,--,26.5,149,142,182,2595,--,--,--,78.8,No,00:01.9,13,80.6,29,20,39,0:30:01,0:30:02,--,--
Pool Swim,6/14/2024 8:04,FALSE,Pool Swim,"3,000",600,1:09:13,123,145,2,--,--,1:53,1:33,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,1570,41,28,--,--,No,00:11.6,36,--,--,--,--,0:56:31,1:09:47,--,--
Running,6/13/2024 8:40,FALSE,Baltimore Running,3.11,344,0:28:21,158,180,3,174,182,9:07,7:26,848,867,1.01,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"4,946",78.8,No,0:28:21,1,86,--,--,--,0:28:20,0:29:15,-70,140
Indoor Cycling,6/13/2024 7:33,FALSE,61': 12 x 1' efforts above thres,17.21,604,1:01:01,129,155,2.9,--,--,16.9,21.6,--,--,--,--,--,--,--,90,101,162,--,66.2,154,144,254,5538,--,--,--,80.6,No,00:00.5,32,86,--,--,--,1:01:00,1:01:01,--,--
Running,6/12/2024 16:33,FALSE,Baltimore Running,3.75,400,0:35:00,147,161,3,170,176,9:20,7:50,798,909,1.02,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,"5,962",84.2,No,0:35:00,1,89.6,--,--,--,0:34:59,0:36:46,"-1,640","-1,640"
Indoor Cycling,6/12/2024 7:33,FALSE,55': 5 x (5' LT + 1' High AeC) @,15.53,548,0:55:00,129,147,2.7,--,--,16.9,27.6,--,--,--,--,--,--,--,81,95,152,--,52.3,161,145,194,4484,--,--,--,80.6,No,00:00.2,19,84.2,--,--,--,0:54:57,0:55:00,--,--
Pool Swim,6/11/2024 15:56,FALSE,Pool Swim,"2,800",540,1:10:29,129,156,2.5,--,--,1:54,1:38,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,1406,42,27,--,--,No,00:01.2,33,--,--,--,--,0:54:16,1:17:53,--,--
Running,6/11/2024 6:57,FALSE,Baltimore - Speed work 2 x (3 x 1200) @ 5k,10.65,"1,119",1:40:40,150,171,4.1,167,185,9:27,6:58,"2,521","2,508",1,7.5,7.7,238,51.4% L / 48.6% R,--,--,--,--,0,--,--,--,--,--,--,"16,566",69.8,No,00:06.4,20,77,32,19,40,1:40:26,1:43:03,"-1,640","-1,640"
Running,6/9/2024 11:08,FALSE,Loudoun County Running,2.1,242,0:20:01,157,162,2.6,173,176,9:32,9:11,151,161,0.98,7.6,7.6,225,51.9% L / 48.1% R,--,--,--,--,0,--,--,--,--,--,--,"3,418",86,No,00:52.4,3,89.6,35,29,41,0:20:00,0:21:05,"-1,640","-1,640"
Cycling,6/9/2024 7:11,FALSE,Loudoun County Cycling,65.01,"1,808",3:33:29,132,157,3.8,--,--,18.3,31.9,"2,381","53,927",--,--,--,--,--,85,121,138,48% L / 52% R,169.5,142,120,545,17231,--,--,--,73.4,No,00:02.5,14,87.8,27,13,38,3:32:08,3:45:47,"-1,640","65,653"
Running,6/8/2024 8:01,FALSE,Baltimore Running,13.1,"1,370",1:59:05,154,167,4.4,172,185,9:05,7:37,"2,813","3,042",1.01,7.8,8,236,50.5% L / 49.5% R,--,--,--,--,0,--,--,--,--,--,--,"20,284",75.2,No,03:48.7,12,87.8,34,19,42,1:58:58,2:04:26,-168,77
Indoor Cycling,6/8/2024 7:10,FALSE,30': Easy pyramid to open legs,8.19,272,0:30:01,124,137,2.1,--,--,16.4,17.2,--,--,--,--,--,--,--,87,95,132,--,21.4,137,130,151,2616,--,--,--,82.4,No,03:00.7,8,87.8,--,--,--,0:29:54,0:30:01,--,--
